,seller_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,buyer_count,num_of_buyer_province,num_of_buyer_city,seller_category,cluster,cluster_name
3104,631a5fcaaa3096cbda27a5bf,2023-08-30,124,1,80000,80000.0,600,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3114,631a5fcbaa3096cbda27a7a7,2023-09-26,97,4,234747185,58686796.25,1760602,0,0.0,1,1,1,Menengah,2,Seasonal Seller
3115,631a5fcbaa3096cbda27a7c1,2023-10-10,83,3,315000,105000.0,2362,0,0.0,3,2,2,Mikro,2,Seasonal Seller
3117,631a5fcbaa3096cbda27a82b,2023-09-06,117,1,45000,45000.0,337,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3129,631a5fcdaa3096cbda27aa0b,2023-10-06,87,4,28554750,7138687.5,214160,0,0.0,2,1,1,Menengah,2,Seasonal Seller
3130,631a5fcdaa3096cbda27aa18,2023-09-15,108,1,183009200,183009200.0,1372569,0,0.0,1,1,1,Kecil,2,Seasonal Seller
3136,631a5fcdaa3096cbda27aa40,2023-09-08,115,1,2000000,2000000.0,15000,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3142,631a5fcdaa3096cbda27aac5,2023-10-18,75,2,48265306,24132653.0,361989,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3150,631a5fcdaa3096cbda27ab01,2023-10-10,83,1,46200000,46200000.0,346500,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3151,631a5fcdaa3096cbda27ab07,2023-09-21,102,9,836808483,92978720.33333333,3527632,0,0.0,3,1,3,Menengah,2,Seasonal Seller
3160,631a5fd3aa3096cbda27af34,2023-09-15,108,1,99816750,99816750.0,748625,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3168,631a62e88755a8a989620d2a,2023-09-15,108,2,95115000,47557500.0,713362,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3170,631a62e98755a8a989620d38,2023-10-12,81,1,2721875,2721875.0,20414,0,0.0,1,1,1,Kecil,2,Seasonal Seller
3174,631a62e98755a8a989620d73,2023-09-23,100,1,124220,124220.0,931,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3176,631a62e98755a8a989620d85,2023-10-14,79,2,106100000,53050000.0,795750,0,0.0,2,1,1,Kecil,2,Seasonal Seller
3178,631a62e98755a8a989620ded,2023-10-20,73,4,25441200,6360300.0,190807,0,0.0,4,3,4,Mikro,2,Seasonal Seller
3185,631a62eb8755a8a989620ea0,2023-10-07,86,10,49872955,4987295.5,374041,0,0.0,5,2,2,Kecil,2,Seasonal Seller
3186,631a62eb8755a8a989620edc,2023-07-21,164,3,71610000,23870000.0,537074,0,0.0,2,1,1,Menengah,2,Seasonal Seller
3189,631a62ec8755a8a989620eea,2023-09-13,110,4,141663750,35415937.5,1062477,0,0.0,2,1,2,Menengah,2,Seasonal Seller
3191,631a62ec8755a8a989620f00,2023-08-30,124,2,9330000,4665000.0,69975,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3196,631a62ee8755a8a989620f30,2023-08-31,123,1,22800,22800.0,171,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3199,631a62ee8755a8a989620fad,2023-09-27,96,1,145000,145000.0,1087,1,57200.0,1,1,1,Mikro,2,Seasonal Seller
3214,631a62f28755a8a9896211d5,2023-10-18,75,1,42660,42660.0,319,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3215,631a62f28755a8a98962120e,2023-10-01,92,1,1872800,1872800.0,14046,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3216,631a62f38755a8a989621298,2023-10-13,80,2,146002,73001.0,1094,0,0.0,2,1,1,Mikro,2,Seasonal Seller
3217,631a62f38755a8a98962129a,2023-10-01,92,1,26900000,26900000.0,201750,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3218,631a62f48755a8a9896212a9,2023-10-07,86,1,1328890,1328890.0,9966,0,0.0,1,1,1,Menengah,2,Seasonal Seller
3219,631a62f48755a8a9896212af,2023-10-12,81,6,46858594,7809765.666666667,351437,0,0.0,2,2,2,Mikro,2,Seasonal Seller
3220,631a62f48755a8a9896212ba,2023-08-31,123,1,239795920,239795920.0,1798469,0,0.0,1,1,1,Kecil,2,Seasonal Seller
3223,631a62f48755a8a9896212ee,2023-08-12,142,1,58000,58000.0,435,1,50000.0,1,1,1,Mikro,2,Seasonal Seller
3228,631a62f68755a8a989621323,2023-07-15,170,1,155899500,155899500.0,1169246,0,0.0,1,1,1,Mikro,2,Seasonal Seller
