,buyer_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,seller_count,num_of_seller_province,num_of_seller_city,cluster,cluster_name
9194,631a75937476cace453ede73,2023-08-12,142,2,13167500,6583750.0,98756,0,0.0,2,1,2,0,Seasonal Buyer
9195,631a75947476cace453edea2,2023-06-29,186,1,2279997,2279997.0,17099,0,0.0,1,1,1,0,Seasonal Buyer
9197,631a75947476cace453edecd,2023-09-23,100,6,23236000,3872666.6666666665,174270,0,0.0,1,1,1,0,Seasonal Buyer
9198,631a75947476cace453ededc,2023-07-05,180,1,1435680,1435680.0,10767,0,0.0,1,1,1,0,Seasonal Buyer
9201,631a75977476cace453edfe9,2023-09-22,101,1,943495,943495.0,7076,0,0.0,1,1,1,0,Seasonal Buyer
9203,631a75987476cace453ee013,2023-09-05,118,1,222000,222000.0,1665,0,0.0,1,1,1,0,Seasonal Buyer
9209,631a75a37476cace453ee403,2023-09-28,95,2,802040,401020.0,6014,0,0.0,2,1,1,0,Seasonal Buyer
9218,631a75b57476cace453eeb26,2023-09-15,108,4,512160000,128040000.0,3841200,0,0.0,1,1,1,0,Seasonal Buyer
9230,631a75cc7476cace453ef354,2023-07-21,164,1,157000,157000.0,1177,0,0.0,1,1,1,0,Seasonal Buyer
9232,631a75da7476cace453ef8b2,2023-08-12,142,1,2414000,2414000.0,18105,0,0.0,1,1,1,0,Seasonal Buyer
9235,631a75e17476cace453efb5c,2023-07-26,159,3,36285000,12095000.0,272136,0,0.0,1,1,1,0,Seasonal Buyer
9237,631a75e47476cace453efc26,2023-10-13,80,2,118455000,59227500.0,888412,0,0.0,1,1,1,0,Seasonal Buyer
9238,631a75eb7476cace453eff3a,2023-06-28,187,2,2435525,1217762.5,18265,0,0.0,1,1,1,0,Seasonal Buyer
9239,631a75eb7476cace453eff3e,2023-08-29,125,7,7285000,1040714.2857142857,54636,0,0.0,1,1,1,0,Seasonal Buyer
9248,631a75fc7476cace453f05dc,2023-10-12,81,3,920000,306666.6666666667,6899,0,0.0,2,1,2,0,Seasonal Buyer
9253,631a76077476cace453f0a80,2023-07-15,170,1,2572000,2572000.0,19290,0,0.0,1,1,1,0,Seasonal Buyer
